"UID","MODELID","SOLTYPE","SOLNUM","KVAR","VARNUM","VARNAME"
"486","95","10","5","9","195","T20_1600SD"
"487","95","10","5","10","197","T20_1700SD"
"488","96","10","6","1","1","BLDADEN"
"489","96","10","6","2","40","PCLDEND5"
"490","96","10","6","3","46","RDDEND1"
"491","96","10","6","4","76","SAGESTRD10"
"492","96","10","6","5","78","SDENSAND10"
"493","96","10","6","6","79","SDENSTR"
"494","96","10","6","7","110","SLOPSAND6"
"495","96","10","6","8","128","SPDIASTR2"
"496","96","10","6","9","138","T5_50MN"
"497","96","10","6","10","139","T5_50SD"
"498","97","10","7","1","1","BLDADEN"
"499","97","10","7","2","79","SDENSTR"
"500","97","10","7","3","95","SDIASTRD7"
"501","97","10","7","4","110","SLOPSAND6"
"502","97","10","7","5","116","SLOPSTRD0"
"503","97","10","7","6","128","SPDIASTR2"
"504","97","10","7","7","139","T5_50SD"
"505","97","10","7","8","140","T5_75MN"
"506","97","10","7","9","167","T10_650SD"
"507","97","10","7","10","189","T20_1300SD"
"508","98","10","8","1","1","BLDADEN"
"509","98","10","8","2","6","BLDADEND5"
"510","98","10","8","3","102","SLOPSAN4"
"511","98","10","8","4","110","SLOPSAND6"
"512","98","10","8","5","128","SPDIASTR2"
"513","98","10","8","6","138","T5_50MN"
"514","98","10","8","7","139","T5_50SD"
"515","98","10","8","8","169","T10_700SD"
"516","98","10","8","9","175","T10_850SD"
"517","98","10","8","10","189","T20_1300SD"
"518","99","10","9","1","1","BLDADEN"
"519","99","10","9","2","6","BLDADEND5"
"520","99","10","9","3","78","SDENSAND10"
"521","99","10","9","4","79","SDENSTR"
"522","99","10","9","5","116","SLOPSTRD0"
"523","99","10","9","6","128","SPDIASTR2"
"524","99","10","9","7","138","T5_50MN"
"525","99","10","9","8","139","T5_50SD"
"526","99","10","9","9","189","T20_1300SD"
"527","99","10","9","10","199","T20_1800SD"
"528","100","10","10","1","2","BLDADEND1"
"529","100","10","10","2","6","BLDADEND5"
"530","100","10","10","3","40","PCLDEND5"
"531","100","10","10","4","46","RDDEND1"
"532","100","10","10","5","78","SDENSAND10"
"533","100","10","10","6","79","SDENSTR"
"534","100","10","10","7","110","SLOPSAND6"
"535","100","10","10","8","128","SPDIASTR2"
"536","100","10","10","9","138","T5_50MN"
"537","100","10","10","10","139","T5_50SD"
"538","102","11","2","1","1","BLDADEN"
"539","102","11","2","2","39","PCLDEND4"
"540","102","11","2","3","79","SDENSTR"
"541","102","11","2","4","81","SDIASAN1"
"542","102","11","2","5","95","SDIASTRD7"
"543","102","11","2","6","110","SLOPSAND6"
"544","102","11","2","7","128","SPDIASTR2"
"545","102","11","2","8","139","T5_50SD"
"546","102","11","2","9","140","T5_75MN"
"547","102","11","2","10","175","T10_850SD"
"548","102","11","2","11","189","T20_1300SD"
"549","103","11","3","1","6","BLDADEND5"
"550","103","11","3","2","9","BLDADEND8"
"551","103","11","3","3","34","PCLDEN"
"552","103","11","3","4","35","PCLDEND0"
"553","103","11","3","5","96","SDIASTRD8"
"554","103","11","3","6","130","SPDIASTR5"
"555","103","11","3","7","156","T10_400MN"
"556","103","11","3","8","175","T10_850SD"
"557","103","11","3","9","189","T20_1300SD"
"558","103","11","3","10","199","T20_1800SD"
"559","103","11","3","11","206","TSLOPE"
"560","104","11","4","1","2","BLDADEND1"
"561","104","11","4","2","55","SAGESAND1"
"562","104","11","4","3","77","SDENSAN"
"563","104","11","4","4","78","SDENSAND10"
"564","104","11","4","5","117","SPAGESAN1"
"565","104","11","4","6","123","SPAGESTR3"
"566","104","11","4","7","128","SPDIASTR2"
"567","104","11","4","8","175","T10_850SD"
"568","104","11","4","9","189","T20_1300SD"
"569","104","11","4","10","195","T20_1600SD"
"570","104","11","4","11","197","T20_1700SD"
"571","105","11","5","1","1","BLDADEN"
"572","105","11","5","2","55","SAGESAND1"
"573","105","11","5","3","78","SDENSAND10"
"574","105","11","5","4","79","SDENSTR"
"575","105","11","5","5","116","SLOPSTRD0"
"576","105","11","5","6","117","SPAGESAN1"
"577","105","11","5","7","128","SPDIASTR2"
"578","105","11","5","8","175","T10_850SD"
"579","105","11","5","9","189","T20_1300SD"
"580","105","11","5","10","195","T20_1600SD"
"581","105","11","5","11","197","T20_1700SD"
"582","106","11","6","1","2","BLDADEND1"
"583","106","11","6","2","78","SDENSAND10"
