VARSET,OA,KHAT,MINPA,MAXPA,MINUA,MAXUA,NVAR,UERROR,MODELID,NMODELS,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10,XVAR11,XVAR12,XVAR13,XVAR14,XVAR15,XVAR16,XVAR17,XVAR18,XVAR19,XVAR20,VARSETRANK
73,0.727,0.454,0.717,0.739,0.694,0.760,12,0.153,116,1,BLDADEND1,PCLDEND4,RDDEND1,SDENSAND10,SDENSTR,SPDIASTR2,T10_1000SD,T20_1800SD,T20_1900SD,T5_150MN,T5_50SD,T5_75MN,N,N,N,N,N,N,N,N,0.4189625668449198
74,0.717,0.435,0.706,0.729,0.700,0.735,12,0.217,117,1,BLDADEN,SAGESAND1,SDENSAND10,SDENSTR,SLOPSTRD0,SPAGESAN1,SPAGESTR3,SPDIASTR2,T10_850SD,T20_1100SD,T20_1600SD,T20_1700SD,N,N,N,N,N,N,N,N,0.3987433155080214
75,0.818,0.636,0.804,0.833,0.800,0.837,12,-1.000,118,1,BLDADEN,PCLDEND4,SAGESAND0,SAGESAND7,SAGESTRD10,SLOPSAN4,SLOPSAND6,SPDIASTR2,T10_700SD,T10_850SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,0.6126417112299465
76,0.798,0.596,0.784,0.812,0.780,0.816,12,0.164,119,1,PCLDEND4,PCLDEND5,RDDEND1,SAGESAND0,SAGESTR3,SAGESTRD7,SDENSAND10,T10_1000SD,T20_1800SD,T20_1900SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,0.5700748663101604
77,0.758,0.515,0.736,0.783,0.720,0.796,12,-1.000,120,1,BLDADEN,PCLDEND6,RDDEND0,SDENSTR,SDIASTRD0,SDIASTRD8,SLOPSAND1,SLOPSTRD0,SPDIASTR2,T10_850SD,T20_1300SD,T20_1900SD,N,N,N,N,N,N,N,N,0.4838770053475936
78,0.737,0.475,0.735,0.740,0.735,0.740,13,0.190,121,1,BLDADEN,RDDEND1,SDENSAND10,SDENSTR,SDENSTRD10,SLOPSTRD0,SPDIASTR2,T20_1300SD,T20_1600SD,T20_1700SD,T20_2000SD,T5_50SD,T5_75MN,N,N,N,N,N,N,N,0.4383064516129032
79,0.707,0.414,0.706,0.708,0.694,0.720,13,0.167,122,1,BLDADEND1,PCLDEND5,RDDEN,RDDEND1,SDENSAND10,SDENSTR,SDIASTRD8,SLOPSTRD0,T20_1000SD,T20_1800SD,T20_1900SD,T5_25MN,T5_50SD,N,N,N,N,N,N,N,0.37304301075268814
80,0.515,0.033,0.508,0.526,0.400,0.633,13,-1.000,123,1,BLDADEN,RDDEND1,RDDEND2,SDENSTRD10,SDIASAN1,SDIASTR2,SLOPSAND6,T10_850SD,T20_1300SD,T20_1600SD,T20_1700SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,-0.034586021505376346
81,0.485,-0.029,0.481,0.489,0.440,0.531,13,-1.000,124,1,BLDADEND9,PCLDEND3,PCLDEND4,RDDEND0,SAGESAND0,SDENSAND10,SDENSTR,SLOPSTRD0,SPDIASTR2,T20_1300SD,T20_1800SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,-0.10091935483870967
82,0.788,0.575,0.774,0.804,0.755,0.820,13,0.163,125,1,PCLDEND4,PCLDEND5,RDDEND1,SAGESAN3,SAGESAND0,SDENSAND10,SDIASTRD4,SPAGESTR3,T10_950SD,T20_1800SD,T20_1900SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,0.5452956989247312
83,0.747,0.495,0.745,0.750,0.735,0.760,13,0.179,126,1,PCLDEND4,SAGESAND0,SDENSAND10,SDENSTR,SLOPSTRD0,SPAGESTR3,SPDIASTR2,T10_550MN,T10_950SD,T20_1800SD,T20_1900SD,T5_50SD,T5_75MN,N,N,N,N,N,N,N,0.45970430107526883
84,0.788,0.576,0.784,0.792,0.776,0.800,13,0.192,127,1,BLDADEND1,BLDADEND5,PCLDEND5,SDENSAND10,SDENSTR,SLOPSTRD0,SPAGESTR3,SPDIASTR2,T20_1200SD,T20_1300SD,T20_1800SD,T5_25MN,T5_50SD,N,N,N,N,N,N,N,0.5463655913978495
85,0.798,0.596,0.778,0.822,0.755,0.840,13,0.186,128,1,BLDADEND1,BLDADEND5,PCLDEND5,SAGESTRD7,SDENSAN,SDENSAND10,SPAGESTR3,SSH18,T10_450SD,T20_1300SD,T20_1600SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,0.567763440860215
86,0.737,0.475,0.735,0.740,0.735,0.740,13,0.207,129,1,BLDADEN,BLDADEND5,PCLDEND5,SAGESTR2,SDENSAND10,SDENSTR,SLOPSTRD0,SPAGESTR3,SPDIASTR2,T10_850SD,T20_1100SD,T20_1600SD,T20_1700SD,N,N,N,N,N,N,N,0.4383064516129032
87,0.768,0.535,0.765,0.771,0.755,0.780,13,-1.000,130,1,BLDADEND5,PCLDEND1,PCLDEND2,PCLDEND5,SAGESTR2,SDENSAND10,SLOPSAND6,SPAGESTR3,SPDIASTR2,T10_700SD,T10_850SD,T20_1300SD,T5_75MN,N,N,N,N,N,N,N,0.5025000000000001
88,0.828,0.657,0.808,0.851,0.800,0.857,14,-1.000,132,1,BLDADEN,PCLDEND6,RDDEND0,SAGESAND0,SAGESAND7,SDENSTR,SLOPSAN4,SLOPSAND6,SPDIASTR2,T10_850SD,T10_900SD,T20_1800SD,T5_50MN,T5_50SD,N,N,N,N,N,N,0.6310432432432432
89,0.747,0.495,0.745,0.750,0.735,0.760,14,0.148,133,1,BLDADEN,PCLDEND5,RDDEND0,SDENSAND10,SDENSTR,SLOPSTRD0,SPDIASTR2,T20_1100SD,T20_1600SD,T20_1700SD,T20_2000SD,T5_100MN,T5_50SD,T5_75MN,N,N,N,N,N,N,0.45678378378378376
