VARSET3,VARNAMES3,FUNCLABEL3,DFCOEF3,Y0,Y1,Z0,Z1,DFCOEF3_ADJ,Z0_ADJ,Z1_ADJ,SD,B*,LOADING,RL,RANK
29,SDIASTRD8,LN1,-59.1112915293,0.00634682,0.00200787755102,-0.794029897629,0.610919180859,-59.1112915293,-0.794029897629,0.610919180859,0.0100227408606,-0.592457156934,-0.458577742233,-1.00436561317,6.0
30,PCLDEND0,LN1,1.94803059346,0.04,0.183673469388,2.42580072039,3.70825764557,1.94803059346,2.42580072039,3.70825764557,0.315869027653,0.615322529395,0.498357653065,0.909022753115,3.0
30,PCLDEND4,LN1,1.8708922941,0.06,0.163265306122,2.42580072039,3.70825764557,1.8708922941,2.42580072039,3.70825764557,0.315869027653,0.590956929781,0.358194563141,0.653360103801,5.0
30,SDENSAND10,LN1,-0.69110811525,0.9,0.734693877551,2.42580072039,3.70825764557,-0.69110811525,2.42580072039,3.70825764557,0.522232967867,-0.360919442144,-0.346813704422,-0.632600997441,7.0
30,SDIASTRD7,LN1,24.868453528,0.00619772,0.0135395918367,2.42580072039,3.70825764557,24.868453528,2.42580072039,3.70825764557,0.0184201364495,0.458080307273,0.436702373493,0.796561247535,4.0
30,SPAGESTR3,LN1,2.1174773773,0.88,1.0,2.42580072039,3.70825764557,2.1174773773,2.42580072039,3.70825764557,0.239820588476,0.507814670709,0.548234520376,1.0,1.0
30,SPDIASTR2,LN1,1.13299278235,0.62,0.836734693878,2.42580072039,3.70825764557,1.13299278235,2.42580072039,3.70825764557,0.447628258172,0.507159585685,0.530496518245,0.967645229419,2.0
30,T10_550SD,LN1,0.0141569537912,9.72383860789,10.6348266377,2.42580072039,3.70825764557,0.0141569537912,2.42580072039,3.70825764557,29.6762392663,0.42012514799,0.0336337586036,0.0613492170841,6.0
31,PCLDEND6,LN1,-7.12028385173,0.02,0.0,-0.336878628608,1.05731051603,-7.12028385173,-0.336878628608,1.05731051603,0.100503781526,-0.715615452637,-0.211337670027,-0.461681040585,4.0
31,RDDEN,LN1,-23.1484972784,0.04717518,0.0415864489796,-0.336878628608,1.05731051603,-23.1484972784,-0.336878628608,1.05731051603,0.0272652203833,-0.631148879838,-0.217687512973,-0.475552690151,5.0
31,RDDEND1,LN1,-1.13379804177,0.74,0.489795918367,-0.336878628608,1.05731051603,-1.13379804177,-0.336878628608,1.05731051603,0.488794241321,-0.55419395364,-0.543622760533,-1.18757967634,7.0
31,SAGESAND0,LN1,240.771184587,0.0,0.000749734693878,-0.336878628608,1.05731051603,240.771184587,-0.336878628608,1.05731051603,0.00173941037205,0.418799895761,0.457756874225,1.0,1.0
31,SDENSTR,LN1,50.4057871892,0.0338100779201,0.0406710985381,-0.336878628608,1.05731051603,50.4057871892,-0.336878628608,1.05731051603,0.0236910427014,1.1941656567,0.307562846043,0.671891266654,2.0
31,SDIASTRD8,LN1,-67.3195158142,0.00634682,0.00200787755102,-0.336878628608,1.05731051603,-67.3195158142,-0.336878628608,1.05731051603,0.0100227408606,-0.674726061868,-0.459755263663,-1.00436561317,6.0
31,SPDIASTRC,LN1,0.267217082584,1.72,1.79591836735,-0.336878628608,1.05731051603,0.267217082584,-0.336878628608,1.05731051603,0.990680132184,0.264726654696,0.0813846928055,0.177790214387,3.0
32,PCLDEND4,LN1,1.79618171625,0.06,0.163265306122,0.506422463461,1.96102957127,1.79618171625,0.506422463461,1.96102957127,0.315869027653,0.567358172201,0.342545180864,0.653360103801,3.0
32,RDDEND1,LN1,-0.928322307922,0.74,0.489795918367,0.506422463461,1.96102957127,-0.928322307922,0.506422463461,1.96102957127,0.488794241321,-0.453758598202,-0.536338259313,-1.02299503935,8.0
32,SAGESAN1,LN1,1399.51830626,0.0,0.00011921592888,0.506422463461,1.96102957127,1399.51830626,0.506422463461,1.96102957127,0.000510885942106,0.714994228385,0.244501092012,0.466353835291,4.0
32,SAGESAND0,LN1,314.940965168,0.0,0.000749734693878,0.506422463461,1.96102957127,314.940965168,0.506422463461,1.96102957127,0.00173941037205,0.547811581396,0.451622968968,0.86141170966,2.0
32,SAGESAND1,LN1,-171.536010595,0.00116072,0.000853571428571,0.506422463461,1.96102957127,-171.536010595,0.506422463461,1.96102957127,0.00447442405701,-0.767524852447,-0.0719253240233,-0.137188142747,6.0
32,SDENSAND10,LN1,-1.38213932342,0.9,0.734693877551,0.506422463461,1.96102957127,-1.38213932342,0.506422463461,1.96102957127,0.522232967867,-0.721798720876,-0.331661547472,-0.632600997441,7.0
32,SDENSTRD10,LN1,1.13678702744,0.82,0.938775510204,0.506422463461,1.96102957127,1.13678702744,0.506422463461,1.96102957127,0.558290526239,0.634657427773,0.22291388197,0.425179057242,5.0
32,SPAGESTR3,LN1,1.81417656266,0.88,1.0,0.506422463461,1.96102957127,1.81417656266,0.506422463461,1.96102957127,0.239820588476,0.435076890856,0.524282365683,1.0,1.0
33,PCLDEND5,LN1,-3.59059665976,0.04,0.0204081632653,-0.702316336401,0.746395052548,-3.59059665976,-0.702316336401,0.746395052548,0.172292196902,-0.618631786697,-0.119291746142,-0.392649451734,4.0
33,PCLDEND6,LN1,-14.730781662,0.02,0.0,-0.702316336401,0.746395052548,-14.730781662,-0.702316336401,0.746395052548,0.100503781526,-1.48049926186,-0.208760555749,-0.687136540535,6.0
33,RDDEND1,LN1,-1.63412386937,0.74,0.489795918367,-0.702316336401,0.746395052548,-1.63412386937,-0.702316336401,0.746395052548,0.488794241321,-0.798750336953,-0.536993663232,-1.76751765542,8.0
33,SAGESAND3,LN1,80.5286816202,0.00266728,0.00302540816327,-0.702316336401,0.746395052548,80.5286816202,-0.702316336401,0.746395052548,0.012185961263,0.981319394788,0.0308304265565,0.10147852199,3.0
33,SDENSTR,LN1,35.6417056733,0.0338100779201,0.0406710985381,-0.702316336401,0.746395052548,35.6417056733,-0.702316336401,0.746395052548,0.0236910427014,0.844389171056,0.303812333407,1.0,1.0
