TVID,VARNAME,XVARSEL
1037,WRESCH050,N
1038,WRESCH100,N
1039,WRESCH200,N
1040,WRESCH500,N
1041,WRESCH500P,N
1042,WRESCV05,N
1043,WRESCV10,N
1044,WRESCV20,N
1045,WRESCV20P,N
1046,WRESCVNEG,N
1047,WRESEDH,N
1048,WRESEDV,N
1049,WRESP,X
1050,WRIVCDH,N
1051,WRIVCDV,N
1052,WRIVCH050,N
1053,WRIVCH100,N
1054,WRIVCH200,N
1055,WRIVCH500,N
1056,WRIVCH500P,N
1057,WRIVCV05,N
1058,WRIVCV10,N
1059,WRIVCV20,N
1060,WRIVCV20P,N
1061,WRIVCVNEG,N
1062,WRIVEDH,N
1063,WRIVEDV,N
1064,WRIVP,X
1065,WSTRCDH,N
1066,WSTRCDV,N
1067,WSTRCH050,N
1068,WSTRCH100,N
1069,WSTRCH200,N
1070,WSTRCH500,N
1071,WSTRCH500P,N
1072,WSTRCV05,N
1073,WSTRCV10,N
1074,WSTRCV20,N
1075,WSTRCV20P,N
1076,WSTRCVNEG,N
1077,WSTREDH,N
1078,WSTREDV,N
1079,WSTRP,X
1080,WWETCDH,N
1081,WWETCDV,N
1082,WWETCH050,N
1083,WWETCH100,N
1084,WWETCH200,N
1085,WWETCH500,N
1086,WWETCH500P,N
1087,WWETCV05,N
1088,WWETCV10,N
1089,WWETCV20,N
1090,WWETCV20P,N
1091,WWETCVNEG,N
1092,WWETEDH,N
1093,WWETEDV,N
1094,WWETP,X
1095,SSH7_25,X
1096,SPDIASTRC,X
