"VARSET2","CLASS2","VARNAMES2","MEANS2"
27,1,"SLOPSTR1",0.0348719320600704
27,0,"SPDIASTRC",1.30826140567201
27,1,"SPDIASTRC",1.56408399710355
27,0,"SSH7_25",0.130702836004932
27,1,"SSH7_25",0.274438812454743
28,0,"BLDADEN",0.219108679613829
28,1,"BLDADEN",0.22872441890272
28,0,"GWTRTB4YU",0.777435265104809
28,1,"GWTRTB4YU",0.651701665459812
28,0,"L039",0.0104808877928483
28,1,"L039",0.0492396813902969
28,0,"OICP",0.381011097410604
28,1,"OICP",0.485155684286749
28,0,"PCLDEND1",0.237361282367448
28,1,"PCLDEND1",0.169442433019551
28,0,"RDDEN",0.0357690875462392
28,1,"RDDEN",0.0329483091962346
28,0,"RDP",0.875462392108508
28,1,"RDP",0.923968139029689
28,0,"SAGESAND9",0.00597577373612824
28,1,"SAGESAND9",0.00328886531498914
28,0,"SLOPSTR1",0.0359819949198238
28,1,"SLOPSTR1",0.0348719320600704
28,0,"SPDIASTRC",1.30826140567201
28,1,"SPDIASTRC",1.56408399710355
28,0,"SSH7_25",0.130702836004932
28,1,"SSH7_25",0.274438812454743
29,0,"BLDADEN",0.219108679613829
29,1,"BLDADEN",0.22872441890272
29,0,"L039",0.0104808877928483
29,1,"L039",0.0492396813902969
29,0,"OICP",0.381011097410604
29,1,"OICP",0.485155684286749
29,0,"PCLDEND1",0.237361282367448
29,1,"PCLDEND1",0.169442433019551
29,0,"RDDEN",0.0357690875462392
29,1,"RDDEN",0.0329483091962346
29,0,"RDP",0.875462392108508
29,1,"RDP",0.923968139029689
29,0,"SAGESAND9",0.00597577373612824
29,1,"SAGESAND9",0.00328886531498914
29,0,"SLOPSTR1",0.0359819949198238
29,1,"SLOPSTR1",0.0348719320600704
29,0,"SPDIASTRC",1.30826140567201
29,1,"SPDIASTRC",1.56408399710355
29,0,"SSH7_25",0.130702836004932
29,1,"SSH7_25",0.274438812454743
29,0,"T20_1800SD",13.8180298264012
29,1,"T20_1800SD",21.6282123972377
30,0,"BLDADEN",0.219108679613829
30,1,"BLDADEN",0.22872441890272
30,0,"L039",0.0104808877928483
30,1,"L039",0.0492396813902969
30,0,"OICP",0.381011097410604
30,1,"OICP",0.485155684286749
30,0,"PCLDEND1",0.237361282367448
30,1,"PCLDEND1",0.169442433019551
30,0,"RDDEN",0.0357690875462392
30,1,"RDDEN",0.0329483091962346
30,0,"RDP",0.875462392108508
30,1,"RDP",0.923968139029689
30,0,"SAGESAND9",0.00597577373612824
30,1,"SAGESAND9",0.00328886531498914
30,0,"SDIASAN4",0.00022097069399192
30,1,"SDIASAN4",7.06587074753038e-05
30,0,"SLOPSTR1",0.0359819949198238
30,1,"SLOPSTR1",0.0348719320600704
30,0,"SPDIASTRC",1.30826140567201
30,1,"SPDIASTRC",1.56408399710355
30,0,"SSH7_25",0.130702836004932
30,1,"SSH7_25",0.274438812454743
31,0,"BLDADEN",0.219108679613829
31,1,"BLDADEN",0.22872441890272
31,0,"HBNKP",0
31,1,"HBNKP",0.00217233888486604
31,0,"L039",0.0104808877928483
31,1,"L039",0.0492396813902969
31,0,"OICP",0.381011097410604
31,1,"OICP",0.485155684286749
31,0,"PCLDEND1",0.237361282367448
31,1,"PCLDEND1",0.169442433019551
31,0,"RDDEN",0.0357690875462392
31,1,"RDDEN",0.0329483091962346
31,0,"RDP",0.875462392108508
31,1,"RDP",0.923968139029689
31,0,"SAGESAND9",0.00597577373612824
31,1,"SAGESAND9",0.00328886531498914
31,0,"SLOPSTR1",0.0359819949198238
31,1,"SLOPSTR1",0.0348719320600704
31,0,"SPDIASTRC",1.30826140567201
31,1,"SPDIASTRC",1.56408399710355
31,0,"SSH7_25",0.130702836004932
31,1,"SSH7_25",0.274438812454743
32,0,"BLDADEN",0.219108679613829
32,1,"BLDADEN",0.22872441890272
32,0,"L032",0.284217016029593
32,1,"L032",0.21216509775525
32,0,"L039",0.0104808877928483
32,1,"L039",0.0492396813902969
32,0,"OICP",0.381011097410604
32,1,"OICP",0.485155684286749
32,0,"PCLDEND1",0.237361282367448
32,1,"PCLDEND1",0.169442433019551
32,0,"RDDEN",0.0357690875462392
32,1,"RDDEN",0.0329483091962346
32,0,"RDP",0.875462392108508
32,1,"RDP",0.923968139029689
32,0,"SAGESAND9",0.00597577373612824
32,1,"SAGESAND9",0.00328886531498914
32,0,"SPAGESTR3",0.821208384710234
32,1,"SPAGESTR3",0.826937002172339
32,0,"SPDIASTRC",1.30826140567201
32,1,"SPDIASTRC",1.56408399710355
32,0,"SSH7_25",0.130702836004932
32,1,"SSH7_25",0.274438812454743
33,0,"BLDADEN",0.219108679613829
33,1,"BLDADEN",0.22872441890272
33,0,"L039",0.0104808877928483
33,1,"L039",0.0492396813902969
33,0,"OICP",0.381011097410604
33,1,"OICP",0.485155684286749
33,0,"PCLDEND1",0.237361282367448
33,1,"PCLDEND1",0.169442433019551
33,0,"RDDEN",0.0357690875462392
33,1,"RDDEN",0.0329483091962346
33,0,"RDP",0.875462392108508
33,1,"RDP",0.923968139029689
33,0,"SAGESAND9",0.00597577373612824
33,1,"SAGESAND9",0.00328886531498914
33,0,"SLOPSTR1",0.0359819949198238
33,1,"SLOPSTR1",0.0348719320600704
33,0,"SPDIASAN1",0.917385943279901
33,1,"SPDIASAN1",0.944967414916727
33,0,"SPDIASTRC",1.30826140567201
33,1,"SPDIASTRC",1.56408399710355
33,0,"SSH7_25",0.130702836004932
33,1,"SSH7_25",0.274438812454743
34,0,"BLDADEN",0.219108679613829
34,1,"BLDADEN",0.22872441890272
34,0,"BLDADEND0",0.0166461159062885
34,1,"BLDADEND0",0.0101375814627082
34,0,"L039",0.0104808877928483
34,1,"L039",0.0492396813902969
34,0,"OICP",0.381011097410604
34,1,"OICP",0.485155684286749
34,0,"PCLDEND1",0.237361282367448
34,1,"PCLDEND1",0.169442433019551
34,0,"RDDEN",0.0357690875462392
34,1,"RDDEN",0.0329483091962346
34,0,"RDP",0.875462392108508
34,1,"RDP",0.923968139029689
34,0,"SAGESAND9",0.00597577373612824
34,1,"SAGESAND9",0.00328886531498914
34,0,"SLOPSTR1",0.0359819949198238
34,1,"SLOPSTR1",0.0348719320600704
34,0,"SPDIASTRC",1.30826140567201
34,1,"SPDIASTRC",1.56408399710355
34,0,"SSH7_25",0.130702836004932
34,1,"SSH7_25",0.274438812454743
35,0,"BLDADEN",0.219108679613829
35,1,"BLDADEN",0.22872441890272
35,0,"BLDADEND0",0.0166461159062885
35,1,"BLDADEND0",0.0101375814627082
35,0,"BLDDENI",590.65639858835
35,1,"BLDDENI",648.321085174511
35,0,"L039",0.0104808877928483
35,1,"L039",0.0492396813902969
35,0,"L060",0.00246609124537608
35,1,"L060",0
35,0,"OICP",0.381011097410604
