TVID,VARNAME,XVARSEL
131,IOTHCH050,N
461,PCLDEND6,X
462,PCLDEND7,X
885,T5_100SD,X
102,HBNKEDV,N
934,T20_1500MN,N
427,MDITCV20,N
60,CLTOTCNT,N
132,IOTHCH100,N
148,ISAPCH200,N
457,PCLDEND2,X
896,T10_350MN,N
465,PCLDEND10,X
66,FLDP,X
338,L447,X
229,L141,X
17,BLDADEND10,X
455,PCLDEND0,X
274,L240,X
13,BLDADEND6,X
105,HCH100,N
942,T20_1900MN,N
1069,WSTRCH200,N
430,MDITEDH,N
206,L049,X
118,HSLWCV20,N
786,SPDIA2,N
997,WLRVCV05,N
55,CLTOT30P,N
1025,WOTHCH500,N
400,MCH200,N
361,L510,X
816,SPDIASTR4,N
815,SPDIASTR3,X
81,GDRAIN5I,X
813,SPDIASTR1,N
812,SPDIASTR0,X
146,ISAPCH050,N
342,L452,X
726,SLOPSAND1,X
341,L450,X
431,MDITEDV,N
188,ITREP,X
730,SLOPSAND5,X
343,L454,X
271,L237,X
575,SDENSAND10,X
481,RDP,X
273,L239,X
1091,WWETCVNEG,N
943,T20_1900SD,N
111,HSLWCH050,N
802,SPDIAOTH4,X
395,MANCOMP,N
791,SPDIACOM0,X
449,OICP,X
576,SDENSTR,N
436,MOTHCH100,N
781,SPAGESTR4,X
567,SCOMZERO,X
788,SPDIA4,N
535,SAGESAN2,X
536,SAGESAN3,X
533,SAGESAN0,X
534,SAGESAN1,X
630,SDIAOTHD9,X
538,SAGESAN5,X
628,SDIAOTHD7,X
627,SDIAOTHD6,X
626,SDIAOTHD5,X
625,SDIAOTHD4,X
624,SDIAOTHD3,X
623,SDIAOTHD2,X
622,SDIAOTHD1,X
621,SDIAOTHD0,X
1048,WRESEDV,N
618,SDIAOTH4,X
397,MANSTRP,N
65,FLDDGNPROP,X
989,WLLKP,X
729,SLOPSAND4,X
713,SLOPOTHD5,X
98,HBNKCV20,N
893,T10_250SD,X
221,L070,X
992,WLRVCH050,N
272,L238,X
1020,WOTHCDH,N
790,SPDIA6,N
1073,WSTRCV10,N
619,SDIAOTH5,X
182,ITRECV10,N
1009,WOCECH200,N
270,L236,X
234,L170,X
235,L171,X
1053,WRIVCH100,N
161,ISTPCH050,N
164,ISTPCH500,N
1044,WRESCV20,N
1036,WRESCDV,N
574,SDENSAN,X
957,WCH200,N
953,TSLOPE,X
907,T10_600SD,X
616,SDIAOTH2,X
944,T20_2000MN,N
820,SPSAN,X
639,SDIASAND0,X
751,SLOPSTRD9,X
136,IOTHCV05,N
154,ISAPCV20P,N
1030,WOTHCV20P,N
940,T20_1800MN,N
1059,WRIVCV20,N
640,SDIASAND1,X
941,T20_1800SD,X
929,T20_1200SD,X
984,WLLKCV20,N
803,SPDIAOTH5,X
503,SAGECOMD9,X
948,TMAX,N
804,SPDIAOTH6,X
799,SPDIAOTH1,X
798,SPDIAOTH0,X
801,SPDIAOTH3,X
800,SPDIAOTH2,X
447,MOTHP,X
103,HBNKP,X
75,GAWHC8,X
76,GAWHC9,X
73,GAWHC6,X
74,GAWHC7,X
71,GAWHC4,X
72,GAWHC5,N
163,ISTPCH200,N
70,GAWHC3,X
68,GAWHC1,N
