UID,FLDP,OPIP,SAGESAND7,SAGESTRD1,SDENSAN,SDIASTRD7,SPDIASTR2,ZSCORE,ZTRANS,ODDS,p
201.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
202.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
203.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
204.000,0,1,0.000,0.020,0.019,0.000,1,2.440,0.854,68.677,0.986
205.000,0,0,0.000,0.002,0.002,0.000,0,0.030,0.544,2.877,0.742
206.000,0,0,0.000,0.001,0.004,0.000,0,-0.131,0.523,2.187,0.686
207.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
208.000,0,0,0.000,0.000,0.022,0.000,0,-0.985,0.413,0.416,0.294
209.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
210.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
211.000,0,0,0.000,0.000,0.001,0.000,1,0.781,0.640,9.088,0.901
212.000,0,0,0.000,0.000,0.022,0.000,1,-0.161,0.519,2.078,0.675
213.000,0,0,0.000,0.000,0.031,0.005,1,-0.288,0.502,1.657,0.624
214.000,0,0,0.000,0.000,0.014,0.000,1,0.210,0.567,3.852,0.794
215.000,0,0,0.000,0.000,5.604,4.800,0,-1.547,0.340,0.107,0.097
216.000,0,0,0.000,0.000,0.004,0.000,1,0.631,0.621,7.328,0.880
217.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
218.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
219.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
220.000,0,0,0.000,0.000,0.007,0.000,1,0.490,0.603,5.943,0.856
221.000,0,0,0.000,0.000,0.019,0.000,0,-0.844,0.431,0.563,0.360
222.000,0,0,0.005,0.000,0.005,0.000,0,-0.417,0.486,1.309,0.567
223.000,0,1,0.000,0.000,0.001,0.000,0,1.428,0.724,21.458,0.955
224.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
225.000,0,0,0.000,0.032,0.027,0.015,1,1.984,0.796,41.643,0.977
226.000,0,0,0.000,0.050,0.049,0.000,0,0.296,0.578,4.416,0.815
227.000,0,0,0.000,0.042,0.037,0.000,1,1.285,0.705,17.889,0.947
228.000,0,0,0.000,0.003,0.034,0.000,1,-0.578,0.465,0.963,0.491
229.000,0,0,0.000,0.000,0.056,0.000,0,-2.471,0.221,0.005,0.005
230.000,0,0,0.000,0.025,0.099,0.000,1,-2.320,0.240,0.009,0.009
231.000,0,0,0.000,0.006,0.089,0.000,1,-2.852,0.172,0.001,0.001
232.000,0,0,0.000,0.000,0.184,0.000,0,-4.183,0.000,0.000,0.000
233.000,1,0,0.000,0.000,0.008,0.000,0,-1.677,0.323,0.075,0.070
234.000,1,0,0.000,0.000,0.000,0.000,0,-1.319,0.370,0.192,0.161
235.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
236.000,1,0,0.000,0.000,0.000,0.000,0,-1.319,0.370,0.192,0.161
237.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
238.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
239.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
240.000,0,0,0.000,0.000,0.012,0.000,1,0.266,0.574,4.211,0.808
241.000,0,1,0.000,0.000,0.007,0.003,1,2.123,0.814,48.677,0.980
242.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
243.000,0,0,0.000,0.000,0.104,0.000,1,-3.792,0.050,0.000,0.000
244.000,0,0,0.000,0.000,0.003,0.000,1,0.666,0.626,7.708,0.885
245.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
246.000,0,0,0.004,0.000,0.015,0.000,1,0.032,0.544,2.885,0.743
247.000,0,0,0.000,0.000,0.031,0.012,1,0.063,0.548,3.039,0.752
248.000,0,0,0.000,0.000,0.030,0.028,0,0.101,0.553,3.233,0.764
249.000,0,0,0.000,0.000,0.025,0.012,1,0.317,0.581,4.565,0.820
250.000,0,0,0.000,0.000,0.041,0.000,1,-0.991,0.412,0.410,0.291
251.000,0,0,0.000,0.000,0.020,0.000,1,-0.085,0.529,2.367,0.703
252.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
253.000,0,1,0.000,0.000,0.223,0.000,0,-4.183,0.000,0.000,0.000
254.000,0,0,0.000,0.000,0.012,0.001,1,0.329,0.582,4.651,0.823
255.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
256.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
257.000,0,0,0.000,0.000,0.007,0.000,1,0.495,0.604,5.990,0.857
258.000,0,0,0.007,0.000,0.017,0.000,0,-0.971,0.414,0.429,0.300
259.000,0,0,0.075,0.000,0.075,0.000,0,-4.183,0.000,0.000,0.000
260.000,0,0,0.640,0.000,1.237,0.000,0,-4.183,0.000,0.000,0.000
261.000,0,0,4.416,0.000,4.416,0.000,0,-4.183,0.000,0.000,0.000
262.000,1,1,0.000,0.000,0.001,0.000,0,0.119,0.555,3.329,0.769
263.000,0,0,0.000,0.045,0.043,0.000,1,1.167,0.690,15.367,0.939
264.000,0,0,0.000,0.001,0.000,0.000,1,0.846,0.649,9.952,0.909
265.000,0,0,0.000,0.051,0.049,0.000,0,0.393,0.590,5.134,0.837
266.000,0,0,0.000,0.068,0.058,0.000,1,1.634,0.750,27.623,0.965
267.000,0,0,0.000,0.000,0.035,0.000,1,-0.730,0.445,0.712,0.416
268.000,0,0,0.000,0.000,0.038,0.000,1,-0.880,0.426,0.521,0.343
269.000,0,0,0.000,0.000,0.350,0.000,0,-4.183,0.000,0.000,0.000
270.000,0,0,0.000,0.000,0.063,0.000,0,-2.794,0.179,0.001,0.001
271.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
272.000,1,0,0.000,0.000,0.000,0.000,0,-1.319,0.370,0.192,0.161
273.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
274.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
275.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
276.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
277.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
278.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
279.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
280.000,0,0,0.000,0.000,0.016,0.004,1,0.275,0.575,4.277,0.810
281.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
282.000,0,0,0.000,0.000,0.035,0.000,0,-1.544,0.341,0.108,0.098
283.000,0,1,0.000,0.032,0.032,0.001,1,2.544,0.868,76.597,0.987
284.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
285.000,0,0,0.002,0.000,0.011,0.000,1,0.272,0.575,4.256,0.810
286.000,0,1,0.027,0.000,0.104,0.000,1,-3.237,0.122,0.000,0.000
287.000,0,1,0.000,0.000,0.006,0.000,0,1.202,0.695,16.085,0.941
288.000,0,0,0.000,0.000,0.064,0.000,0,-2.849,0.172,0.001,0.001
289.000,0,1,0.000,0.000,0.011,0.000,1,1.802,0.772,33.725,0.971
290.000,0,1,0.000,0.000,0.000,0.000,0,1.461,0.728,22.367,0.957
291.000,0,1,0.000,0.000,0.003,0.002,1,2.215,0.825,53.846,0.982
292.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
293.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
294.000,0,0,0.000,0.000,0.028,0.000,1,-0.428,0.484,1.282,0.562
295.000,0,0,0.024,0.000,0.024,0.000,0,-1.854,0.300,0.045,0.043
296.000,0,0,0.000,0.000,0.070,0.000,1,-2.280,0.246,0.011,0.011
297.000,0,0,0.000,0.000,0.029,0.010,1,0.059,0.547,3.018,0.751
298.000,0,0,0.000,0.000,0.018,0.000,1,0.034,0.544,2.895,0.743
299.000,0,0,0.000,0.000,0.025,0.000,0,-1.112,0.396,0.313,0.238
300.000,0,0,0.000,0.000,0.038,0.000,1,-0.876,0.427,0.526,0.345
301.000,0,0,0.000,0.000,0.050,0.010,1,-0.887,0.425,0.514,0.339
302.000,0,0,0.000,0.000,0.020,0.000,0,-0.871,0.427,0.532,0.347
303.000,0,1,0.000,0.000,0.000,0.000,0,1.461,0.728,22.367,0.957
304.000,0,1,0.000,0.000,0.000,0.000,0,1.461,0.728,22.350,0.957
305.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
306.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
307.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
308.000,0,0,0.000,0.000,0.011,0.026,0,0.886,0.654,10.517,0.913
309.000,0,0,0.000,0.000,0.021,0.005,1,0.161,0.560,3.561,0.781
310.000,0,1,0.032,0.000,0.058,0.000,1,-1.358,0.365,0.174,0.149
311.000,0,0,0.484,0.000,0.979,0.000,1,-4.183,0.000,0.000,0.000
312.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
313.000,1,0,0.000,0.000,0.000,0.000,0,-1.319,0.370,0.192,0.161
314.000,1,0,0.000,0.000,0.026,0.000,1,-1.654,0.326,0.080,0.074
315.000,0,0,0.000,0.003,0.041,0.000,1,-0.894,0.424,0.506,0.336
316.000,0,0,0.000,0.000,0.007,0.006,0,0.028,0.543,2.864,0.741
317.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
318.000,0,0,0.000,0.023,0.022,0.000,1,1.011,0.670,12.483,0.926
319.000,0,0,0.000,0.020,0.020,0.000,1,0.931,0.660,11.186,0.918
320.000,0,0,0.000,0.016,0.030,0.000,1,0.307,0.579,4.490,0.818
321.000,0,0,0.000,0.009,0.030,0.000,1,-0.094,0.528,2.332,0.700
